2048,1024,64,16.4823,2.5815,5.33827,36.3909,1.04784,
4096,512,64,16.7383,2.65117,5.7528,33.6323,1.55021,
8192,256,64,17.4193,3.98333,6.62838,33.5094,2.58083,
16384,128,64,16.4157,6.21981,8.16637,32.6492,4.48304,
32768,64,64,16.6349,11.1801,11.7218,33.2964,8.10045,
2048,1024,64,17.1929,1.95888,5.31664,36.5312,1.02365,
4096,512,64,16.3011,3.31059,5.75696,33.3189,1.55222,
8192,256,64,17.3373,4.20246,6.70208,32.4679,2.56352,
16384,128,64,16.3615,6.20646,8.33741,32.4598,4.18186,
32768,64,64,16.0952,11.1995,11.8426,33.3578,8.23078,
