128,16384,64,26.4437,7.09942,8.60877,34.7671,4.67344,
128,16384,64,24.1111,7.11888,8.79002,34.6248,4.58899,
128,16384,64,20.8312,6.48602,8.42547,33.6829,4.49734,
256,8192,64,20.1216,3.94752,6.96525,32.9691,2.308,
512,4096,64,16.6625,2.48112,6.51264,33.9402,1.25398,
1024,2048,64,16.9564,1.96093,5.96378,36.9109,1.39264,
128,16384,64,19.9342,6.18291,8.43264,34.0803,4.5417,
256,8192,64,20.0387,3.95366,6.80554,32.9466,2.38611,
512,4096,64,17.917,2.56822,5.9607,34.4974,1.25936,
1024,2048,64,16.768,1.95789,6.64061,36.4456,0.81808,
