65536,2048,128,363.002,70.103,416.158,113.051,25.0601,
196608,6144,384,6187.2,1546.23,6986.79,1241.14,408.925,
270211,8444,526,16088.4,3949.14,20967.2,2902.81,1075.15,
327680,10240,640,26222.5,7082.96,38684,5627.43,1733.72,
65536,2048,128,361.275,69.9494,420.908,112.636,25.686,
65536,2048,128,359.056,70.0806,415.777,109.445,25.1532,
196608,6144,384,6231.98,1554.36,6898.9,1218.84,415.766,
65536,2048,128,359.997,69.5552,416.114,109.36,26.8589,
65536,2048,128,740.928,70.1204,416.126,108.343,26.1155,
65536,2048,128,1127.24,70.1245,416.268,108.115,27.1894,
65536,2048,128,1527.19,71.4383,429.608,108.916,26.7109,
196608,6144,384,6285.36,1573.14,6971.78,1227.06,416.673,
196608,6144,384,15953.3,1574.48,7052.13,1250.94,427.587,
196608,6144,384,25992.9,1590.28,7015.43,1237.17,431.79,
